iter	Passed	Remaining
745	2746	935
746	2750	931
747	2754	927
748	2757	924
749	2761	920
750	2765	916
751	2768	913
752	2772	909
753	2775	905
754	2779	902
755	2783	898
756	2787	894
757	2792	891
758	2795	887
759	2799	883
760	2802	880
761	2806	876
762	2809	872
763	2813	869
764	2818	865
765	2822	862
766	2826	858
767	2830	854
768	2833	851
769	2838	847
770	2841	844
771	2845	840
772	2849	836
773	2854	833
774	2856	829
775	2860	825
776	2863	821
777	2868	818
778	2871	814
779	2875	811
780	2879	807
781	2884	804
782	2887	800
783	2890	796
784	2894	792
785	2899	789
786	2902	785
787	2905	781
788	2908	777
789	2912	774
790	2915	770
791	2918	766
792	2922	762
793	2925	758
794	2929	755
795	2933	751
796	2936	748
797	2940	744
798	2944	740
799	2948	737
800	2951	733
801	2955	729
802	2959	726
803	2963	722
804	2967	718
805	2972	715
806	2976	711
807	2979	707
808	2982	704
809	2985	700
810	2989	696
811	2993	693
812	2996	689
813	3000	685
814	3004	681
815	3007	678
816	3011	674
817	3014	670
818	3018	667
819	3021	663
820	3024	659
821	3027	655
822	3031	651
823	3035	648
824	3038	644
825	3041	640
826	3045	637
827	3048	633
828	3052	629
829	3056	625
830	3059	622
831	3063	618
832	3066	614
833	3069	610
834	3073	607
835	3076	603
836	3080	599
837	3083	596
838	3087	592
839	3091	588
840	3095	585
841	3099	581
842	3103	577
843	3106	574
844	3110	570
845	3114	567
846	3118	563
847	3122	559
848	3126	556
849	3129	552
850	3133	548
851	3137	545
852	3141	541
853	3145	537
854	3148	533
855	3152	530
856	3156	526
857	3160	523
858	3163	519
859	3167	515
860	3171	512
861	3175	508
862	3178	504
863	3181	500
864	3185	497
865	3188	493
866	3192	489
867	3195	485
868	3198	482
869	3202	478
870	3205	474
871	3209	471
872	3213	467
873	3217	463
874	3220	460
875	3223	456
876	3226	452
877	3231	448
878	3235	445
879	3240	441
880	3244	438
881	3249	434
882	3253	431
883	3257	427
884	3261	423
885	3265	420
886	3269	416
887	3273	412
888	3276	409
889	3280	405
890	3283	401
891	3287	398
892	3291	394
893	3295	390
894	3298	386
895	3302	383
896	3305	379
897	3309	375
898	3312	372
899	3316	368
900	3319	364
901	3323	361
902	3326	357
903	3329	353
904	3333	349
905	3338	346
906	3342	342
907	3345	338
908	3348	335
909	3352	331
910	3355	327
911	3359	324
912	3362	320
913	3366	316
914	3370	313
915	3374	309
916	3377	305
917	3381	302
918	3384	298
919	3388	294
920	3391	290
921	3394	287
922	3398	283
923	3401	279
924	3404	276
925	3407	272
926	3411	268
927	3415	264
928	3418	261
929	3422	257
930	3425	253
931	3429	250
932	3432	246
933	3436	242
934	3439	239
935	3444	235
936	3448	231
937	3452	228
938	3456	224
939	3459	220
940	3464	217
941	3467	213
942	3472	209
943	3476	206
944	3480	202
945	3483	198
946	3487	195
947	3491	191
948	3495	187
949	3498	184
950	3501	180
951	3505	176
952	3509	173
953	3512	169
954	3516	165
955	3520	162
956	3523	158
957	3526	154
958	3529	150
959	3533	147
960	3537	143
961	3540	139
962	3544	136
963	3548	132
964	3552	128
965	3556	125
966	3559	121
967	3563	117
968	3568	114
969	3572	110
970	3576	106
971	3580	103
972	3584	99
973	3588	95
974	3592	92
975	3596	88
976	3600	84
977	3603	81
978	3607	77
979	3612	73
980	3615	70
981	3619	66
982	3622	62
983	3626	58
984	3630	55
985	3633	51
986	3636	47
987	3640	44
988	3643	40
989	3647	36
990	3650	33
991	3654	29
992	3658	25
993	3662	22
994	3665	18
995	3670	14
996	3673	11
997	3676	7
998	3680	3
999	3683	0
